error_id,error_date,customer_id,customer_segment,country,application_module,error_type,severity,app_version,device_type,operating_system,resolution_time_minutes,resolved,customer_churned_30d
ERR-00048,2024-05-15 13:08:15,CUST-0021,Enterprise,Francja,Płatności,Błąd API,Medium,3.5.5,Desktop,Windows,53.0,True,True
ERR-00049,2024-10-14 13:34:16,CUST-0180,Startup,Niemcy,Raporty,Nieprawidłowe dane,Medium,3.8.7,Desktop,macOS,,False,True
ERR-00050,2024-10-26 08:27:57,CUST-0002,Enterprise,Polska,Płatności,Timeout,High,3.9.5,Desktop,Windows,80.0,True,False
ERR-00051,2024-10-25 22:25:23,CUST-0163,Startup,Niemcy,Płatności,Błąd interfejsu,Low,3.5.7,Mobile,Android,21.0,True,False
ERR-00052,2024-04-22 16:08:32,CUST-0057,Mid-market,Niemcy,Raporty,Błąd bazy danych,Critical,3.9.6,Desktop,Windows,72.0,True,False
ERR-00053,2024-09-09 20:05:48,CUST-0193,Startup,Polska,Płatności,Nieprawidłowe dane,Low,3.6.0,Tablet,iOS,60.0,True,False
ERR-00054,2024-01-25 18:55:07,CUST-0141,SMB,Wielka Brytania,Płatności,Błąd API,Low,3.4.6,Desktop,macOS,136.0,True,False
ERR-00055,2024-03-19 14:40:10,CUST-0163,Startup,Hiszpania,Integracje,Błąd bazy danych,High,3.8.9,Desktop,macOS,281.0,True,False
ERR-00056,2024-12-14 19:27:38,CUST-0022,Enterprise,Francja,Użytkownicy,Błąd autoryzacji,Medium,3.5.3,Desktop,Windows,,False,True
ERR-00057,2024-02-02 04:24:24,CUST-0098,SMB,Niemcy,Integracje,Nieprawidłowe dane,Medium,3.5.0,Mobile,Android,57.0,True,False
ERR-00058,2024-11-01 08:29:33,CUST-0031,Mid-market,Niemcy,Logowanie,Błąd autoryzacji,Low,3.5.3,Desktop,Windows,64.0,True,False
ERR-00059,2024-05-08 02:35:55,CUST-0066,Mid-market,Francja,Logowanie,Nieprawidłowe dane,Medium,3.8.9,Mobile,Android,41.0,True,False
ERR-00060,2024-01-06 10:43:46,CUST-0041,Mid-market,Niemcy,Użytkownicy,Błąd interfejsu,Medium,3.8.8,Tablet,iOS,52.0,True,False
ERR-00061,2024-02-28 11:43:56,CUST-0203,Startup,Polska,Płatności,Timeout,Critical,3.4.6,Tablet,iOS,,False,False
ERR-00062,2024-10-01 09:48:17,CUST-0234,Startup,Niemcy,Logowanie,Timeout,Critical,3.4.3,Desktop,Windows,282.0,True,False
ERR-00063,2024-11-24 17:21:07,CUST-0141,SMB,Hiszpania,Raporty,Błąd bazy danych,High,3.5.3,Mobile,iOS,116.0,True,True
ERR-00064,2024-05-30 10:27:10,CUST-0061,Mid-market,Niemcy,Integracje,Timeout,High,3.6.5,Mobile,Android,179.0,True,False
ERR-00065,2024-08-20 09:00:46,CUST-0072,Mid-market,Polska,Integracje,Nieprawidłowe dane,High,3.3.5,Desktop,Linux,108.0,True,False
ERR-00066,2024-05-14 13:32:48,CUST-0106,SMB,Hiszpania,Płatności,Błąd autoryzacji,Low,3.8.6,Desktop,Windows,21.0,True,False
ERR-00067,2024-04-01 07:32:58,CUST-0025,Enterprise,Polska,Logowanie,Błąd autoryzacji,Medium,3.5.2,Desktop,Windows,19.0,True,False
ERR-00068,2024-02-24 16:55:40,CUST-0010,Enterprise,Polska,Użytkownicy,Błąd interfejsu,Medium,3.4.3,Desktop,Windows,11.0,True,False
ERR-00069,2024-06-01 04:53:40,CUST-0011,Enterprise,Polska,Płatności,Błąd bazy danych,Critical,3.1.6,Desktop,Windows,150.0,True,False
ERR-00070,2024-09-16 23:38:12,CUST-0010,Enterprise,Polska,Integracje,Nieprawidłowe dane,Low,3.3.5,Desktop,Windows,9.0,True,False
ERR-00071,2024-03-19 16:23:48,CUST-0021,Enterprise,Hiszpania,Integracje,Timeout,High,3.9.6,Desktop,Windows,,False,False
ERR-00072,2024-03-23 08:34:49,CUST-0002,Enterprise,Niemcy,Integracje,Błąd bazy danych,Critical,3.4.1,Desktop,Windows,64.0,True,False
ERR-00073,2024-09-28 00:58:00,CUST-0030,Enterprise,Polska,Płatności,Błąd API,Medium,3.2.5,Desktop,macOS,42.0,True,False
ERR-00074,2024-11-02 17:20:31,CUST-0025,Enterprise,Wielka Brytania,Płatności,Błąd bazy danych,Medium,3.4.9,Desktop,macOS,44.0,True,False
ERR-00075,2024-01-10 15:07:59,CUST-0162,Startup,Wielka Brytania,Raporty,Błąd bazy danych,Critical,3.4.2,Desktop,macOS,489.0,True,True
ERR-00076,2024-07-04 15:56:53,CUST-0072,Mid-market,Wielka Brytania,Eksport danych,Błąd API,Medium,3.0.5,Desktop,Windows,50.0,True,False
ERR-00077,2024-06-06 16:15:03,CUST-0019,Enterprise,Polska,Użytkownicy,Błąd API,Medium,3.4.2,Desktop,Windows,77.0,True,False
ERR-00078,2024-05-03 03:56:36,CUST-0110,SMB,Niemcy,Logowanie,Timeout,High,3.6.1,Desktop,Windows,376.0,True,False
ERR-00079,2024-02-10 10:05:46,CUST-0018,Enterprise,Wielka Brytania,Logowanie,Błąd bazy danych,High,3.6.2,Desktop,Windows,121.0,True,False
ERR-00080,2024-09-05 06:52:04,CUST-0245,Startup,Hiszpania,Użytkownicy,Timeout,High,3.4.4,Mobile,Android,191.0,True,False
ERR-00081,2024-09-29 17:49:08,CUST-0085,SMB,Polska,Integracje,Błąd bazy danych,Medium,3.4.9,Desktop,Windows,42.0,True,False
ERR-00082,2024-03-06 14:42:30,CUST-0030,Enterprise,Polska,Eksport danych,Timeout,Medium,3.9.7,Mobile,Android,132.0,True,False
ERR-00083,2024-10-08 10:10:16,CUST-0042,Mid-market,Niemcy,Płatności,Błąd bazy danych,Critical,3.4.5,Desktop,Windows,134.0,True,False
ERR-00084,2024-09-27 03:55:38,CUST-0204,Startup,Wielka Brytania,Raporty,Błąd bazy danych,High,3.3.8,Desktop,Windows,83.0,True,False
ERR-00085,2024-08-04 10:13:59,CUST-0173,Startup,Niemcy,Integracje,Timeout,Medium,3.3.6,Desktop,macOS,63.0,True,False
ERR-00086,2024-10-03 10:48:46,CUST-0033,Mid-market,Niemcy,Integracje,Błąd autoryzacji,Medium,3.4.9,Desktop,macOS,19.0,True,False
ERR-00087,2024-12-19 15:12:45,CUST-0056,Mid-market,Polska,Raporty,Błąd autoryzacji,High,3.8.4,Mobile,iOS,405.0,True,False
ERR-00088,2024-06-08 14:25:42,CUST-0026,Enterprise,Francja,Logowanie,Błąd bazy danych,Medium,3.3.0,Desktop,macOS,,False,False
ERR-00089,2024-11-28 17:23:28,CUST-0214,Startup,Hiszpania,Raporty,Nieprawidłowe dane,Medium,3.8.2,Desktop,Windows,84.0,True,False
ERR-00090,2024-09-21 12:28:07,CUST-0006,Enterprise,Niemcy,Płatności,Błąd autoryzacji,Low,3.0.3,Desktop,macOS,17.0,True,False
ERR-00091,2024-05-06 06:14:04,CUST-0246,Startup,Hiszpania,Raporty,Błąd bazy danych,Low,3.4.7,Desktop,macOS,48.0,True,False
ERR-00092,2024-06-22 15:01:37,CUST-0049,Mid-market,Wielka Brytania,Użytkownicy,Timeout,Medium,3.8.5,Tablet,iOS,49.0,True,False
ERR-00093,2024-10-10 16:14:37,CUST-0033,Mid-market,Polska,Raporty,Błąd API,High,3.4.3,Mobile,iOS,39.0,True,False
ERR-00094,2024-04-22 13:00:04,CUST-0031,Mid-market,Niemcy,Eksport danych,Błąd interfejsu,Low,3.6.4,Desktop,Linux,31.0,True,False
ERR-00095,2024-12-28 16:40:03,CUST-0010,Enterprise,Polska,Logowanie,Timeout,Low,3.3.0,Desktop,Windows,24.0,True,False
ERR-00096,2024-04-27 12:04:57,CUST-0019,Enterprise,Hiszpania,Integracje,Błąd API,Medium,3.8.3,Desktop,macOS,26.0,True,True
ERR-00097,2024-01-17 13:55:21,CUST-0020,Enterprise,Niemcy,Użytkownicy,Błąd autoryzacji,High,3.0.7,Mobile,Android,107.0,True,True
ERR-00098,2024-02-06 11:32:15,CUST-0004,Enterprise,Francja,Logowanie,Błąd autoryzacji,Low,3.8.9,Desktop,Windows,9.0,True,False
ERR-00099,2024-05-22 01:42:31,CUST-0123,SMB,Hiszpania,Logowanie,Timeout,High,3.2.9,Desktop,Windows,,False,False
ERR-00100,2024-04-19 05:34:08,CUST-0010,Enterprise,Niemcy,Raporty,Błąd autoryzacji,Low,3.9.0,Mobile,iOS,9.0,True,False
ERR-00101,2024-10-19 01:36:30,CUST-0015,Enterprise,Wielka Brytania,Logowanie,Błąd bazy danych,High,3.4.4,Desktop,macOS,33.0,True,False
ERR-00102,2024-05-04 14:50:30,CUST-0233,Startup,Niemcy,Integracje,Błąd API,Medium,3.8.2,Desktop,Linux,55.0,True,False
ERR-00103,2024-07-27 10:12:06,CUST-0220,Startup,Polska,Użytkownicy,Błąd API,Medium,3.4.2,Tablet,Android,153.0,True,False
ERR-00104,2024-02-19 12:42:27,CUST-0218,Startup,Francja,Raporty,Błąd autoryzacji,Medium,3.9.2,Desktop,Windows,144.0,True,False
ERR-00105,2024-06-30 19:27:26,CUST-0214,Startup,Hiszpania,Płatności,Timeout,High,3.1.8,Desktop,macOS,118.0,True,False
ERR-00106,2024-08-27 09:55:46,CUST-0029,Enterprise,Polska,Raporty,Błąd bazy danych,Medium,3.2.6,Desktop,Windows,37.0,True,False
ERR-00107,2024-01-28 11:43:41,CUST-0005,Enterprise,Wielka Brytania,Integracje,Błąd interfejsu,Medium,3.5.3,Desktop,Windows,48.0,True,False
ERR-00108,2024-11-26 16:06:03,CUST-0145,SMB,Wielka Brytania,Logowanie,Błąd autoryzacji,Low,3.1.2,Desktop,Windows,18.0,True,False
ERR-00109,2024-07-25 09:46:21,CUST-0140,SMB,Polska,Raporty,Nieprawidłowe dane,High,3.2.9,Mobile,iOS,67.0,True,False
ERR-00110,2024-02-25 04:15:12,CUST-0009,Enterprise,Wielka Brytania,Integracje,Błąd API,Critical,3.9.5,Desktop,macOS,474.0,True,False
ERR-00111,2024-04-07 09:34:28,CUST-0105,SMB,Polska,Integracje,Błąd API,Critical,3.9.8,Mobile,Android,,False,True
ERR-00112,2024-03-12 08:27:11,CUST-0026,Enterprise,Polska,Płatności,Błąd API,High,3.4.5,Tablet,Android,80.0,True,False
ERR-00113,2024-05-22 20:29:15,CUST-0004,Enterprise,Polska,Integracje,Błąd autoryzacji,Medium,3.9.4,Desktop,Linux,130.0,True,False
ERR-00114,2024-02-08 16:28:51,CUST-0052,Mid-market,Wielka Brytania,Logowanie,Błąd autoryzacji,High,3.6.1,Desktop,macOS,76.0,True,True
ERR-00115,2024-10-08 14:06:03,CUST-0041,Mid-market,Francja,Logowanie,Błąd bazy danych,High,3.4.0,Desktop,Windows,153.0,True,False
ERR-00116,2024-11-29 17:34:53,CUST-0077,Mid-market,Polska,Eksport danych,Timeout,High,3.8.1,Tablet,Android,60.0,True,False
ERR-00117,2024-01-08 16:05:59,CUST-0015,Enterprise,Niemcy,Integracje,Błąd interfejsu,Medium,3.7.8,Mobile,iOS,19.0,True,False
ERR-00118,2024-05-01 08:10:26,CUST-0233,Startup,Francja,Logowanie,Błąd API,Medium,3.9.9,Desktop,Windows,,False,False
ERR-00119,2024-09-05 18:30:13,CUST-0009,Enterprise,Polska,Płatności,Błąd autoryzacji,High,3.3.9,Mobile,Android,,False,False
ERR-00120,2024-07-24 13:57:03,CUST-0023,Enterprise,Wielka Brytania,Płatności,Błąd bazy danych,High,3.8.0,Desktop,Windows,66.0,True,False
ERR-00121,2024-03-25 16:24:00,CUST-0174,Startup,Hiszpania,Płatności,Timeout,High,3.0.7,Tablet,Android,,False,False
ERR-00122,2024-07-18 18:16:59,CUST-0152,Startup,Niemcy,Płatności,Błąd API,Critical,3.1.7,Desktop,Windows,210.0,True,False
ERR-00123,2024-08-20 10:18:27,CUST-0245,Startup,Wielka Brytania,Logowanie,Błąd bazy danych,Medium,3.0.0,Desktop,Windows,36.0,True,False
ERR-00124,2024-12-22 05:46:50,CUST-0124,SMB,Niemcy,Raporty,Błąd interfejsu,Medium,3.9.9,Mobile,iOS,,False,False
ERR-00125,2024-10-11 09:42:45,CUST-0118,SMB,Wielka Brytania,Integracje,Nieprawidłowe dane,Critical,3.8.6,Desktop,Windows,163.0,True,False
ERR-00126,2024-09-06 11:09:12,CUST-0067,Mid-market,Francja,Integracje,Błąd bazy danych,High,3.8.6,Desktop,Windows,,False,False
ERR-00127,2024-05-31 17:13:03,CUST-0022,Enterprise,Francja,Integracje,Błąd bazy danych,High,3.5.6,Desktop,Windows,25.0,True,False
ERR-00128,2024-10-23 17:47:34,CUST-0079,Mid-market,Polska,Logowanie,Błąd interfejsu,Low,3.4.1,Desktop,Linux,37.0,True,False
ERR-00129,2024-02-01 00:47:20,CUST-0007,Enterprise,Wielka Brytania,Użytkownicy,Timeout,High,3.2.2,Desktop,macOS,63.0,True,False
ERR-00130,2024-01-30 12:03:37,CUST-0006,Enterprise,Niemcy,Eksport danych,Błąd autoryzacji,High,3.4.0,Tablet,Android,,False,False
ERR-00131,2024-09-01 11:32:58,CUST-0132,SMB,Polska,Eksport danych,Timeout,High,3.4.5,Desktop,macOS,57.0,True,True
ERR-00132,2024-09-28 08:10:03,CUST-0058,Mid-market,Polska,Eksport danych,Timeout,High,3.8.4,Desktop,Windows,54.0,True,False
ERR-00133,2024-09-17 06:05:54,CUST-0017,Enterprise,Niemcy,Użytkownicy,Błąd bazy danych,Medium,3.6.0,Mobile,iOS,13.0,True,False
ERR-00134,2024-04-05 10:04:38,CUST-0011,Enterprise,Niemcy,Raporty,Błąd bazy danych,Low,3.1.1,Desktop,Windows,19.0,True,False
ERR-00135,2024-02-04 20:43:55,CUST-0092,SMB,Francja,Płatności,Błąd API,Critical,3.0.2,Desktop,macOS,114.0,True,False
ERR-00136,2024-04-30 10:25:07,CUST-0013,Enterprise,Wielka Brytania,Integracje,Błąd autoryzacji,Medium,3.1.5,Mobile,Android,52.0,True,False
ERR-00137,2024-10-18 13:15:37,CUST-0236,Startup,Polska,Integracje,Błąd bazy danych,High,3.4.7,Mobile,Android,55.0,True,False
ERR-00138,2024-10-31 15:02:39,CUST-0037,Mid-market,Francja,Integracje,Timeout,Medium,3.9.4,Desktop,Linux,30.0,True,False
ERR-00139,2024-02-11 10:26:42,CUST-0042,Mid-market,Polska,Raporty,Błąd bazy danych,Critical,3.7.5,Mobile,Android,497.0,True,True
ERR-00140,2024-10-25 22:36:33,CUST-0039,Mid-market,Wielka Brytania,Logowanie,Błąd API,Critical,3.8.6,Desktop,Windows,315.0,True,False
ERR-00141,2024-06-10 21:59:16,CUST-0142,SMB,Hiszpania,Raporty,Timeout,High,3.4.9,Tablet,Android,54.0,True,True
ERR-00142,2024-04-14 09:42:45,CUST-0011,Enterprise,Niemcy,Użytkownicy,Błąd autoryzacji,Low,3.4.4,Desktop,macOS,31.0,True,False
ERR-00143,2024-06-09 12:15:16,CUST-0112,SMB,Francja,Raporty,Błąd autoryzacji,Medium,3.1.6,Mobile,iOS,,False,False
ERR-00144,2024-07-21 10:08:42,CUST-0031,Mid-market,Polska,Raporty,Nieprawidłowe dane,High,3.9.0,Desktop,Windows,101.0,True,False
ERR-00145,2024-11-26 09:19:29,CUST-0009,Enterprise,Niemcy,Płatności,Błąd interfejsu,Medium,3.8.5,Tablet,iOS,66.0,True,False
ERR-00146,2024-06-10 01:59:48,CUST-0200,Startup,Hiszpania,Raporty,Błąd bazy danych,Critical,3.2.5,Mobile,Android,357.0,True,False
ERR-00147,2024-02-07 14:00:29,CUST-0111,SMB,Niemcy,Eksport danych,Błąd autoryzacji,Medium,3.5.6,Mobile,Android,89.0,True,False
ERR-00148,2024-11-14 12:36:06,CUST-0138,SMB,Niemcy,Integracje,Błąd API,High,3.5.3,Desktop,macOS,649.0,True,False
ERR-00149,2024-02-07 02:34:13,CUST-0247,Startup,Niemcy,Eksport danych,Błąd bazy danych,High,3.7.3,Desktop,Windows,88.0,True,False
ERR-00150,2024-09-16 09:16:08,CUST-0185,Startup,Hiszpania,Raporty,Błąd bazy danych,Medium,3.9.5,Desktop,Windows,90.0,True,False
ERR-00151,2024-06-27 19:56:04,CUST-0123,SMB,Polska,Integracje,Błąd autoryzacji,Medium,3.6.6,Mobile,Android,57.0,True,False
ERR-00152,2024-05-05 09:23:18,CUST-0119,SMB,Polska,Płatności,Błąd autoryzacji,Low,3.6.1,Desktop,macOS,11.0,True,False
ERR-00153,2024-03-21 07:28:53,CUST-0082,SMB,Francja,Integracje,Błąd bazy danych,Critical,3.0.7,Tablet,Android,93.0,True,False
ERR-00154,2024-10-05 12:45:19,CUST-0114,SMB,Hiszpania,Raporty,Timeout,Critical,3.0.9,Mobile,iOS,120.0,True,False
ERR-00155,2024-11-09 23:51:41,CUST-0072,Mid-market,Polska,Raporty,Timeout,Critical,3.2.8,Desktop,macOS,273.0,True,False
ERR-00156,2024-09-27 09:00:42,CUST-0127,SMB,Polska,Integracje,Błąd autoryzacji,Medium,3.0.4,Mobile,Android,70.0,True,False
ERR-00157,2024-10-10 15:19:59,CUST-0023,Enterprise,Polska,Użytkownicy,Błąd API,Low,3.8.3,Desktop,macOS,,False,False
ERR-00158,2024-12-05 16:06:56,CUST-0181,Startup,Polska,Logowanie,Nieprawidłowe dane,High,3.8.2,Desktop,Windows,163.0,True,False
ERR-00159,2024-03-09 09:16:07,CUST-0158,Startup,Niemcy,Eksport danych,Błąd interfejsu,Medium,3.2.0,Desktop,Windows,25.0,True,False
ERR-00160,2024-02-24 15:47:35,CUST-0022,Enterprise,Francja,Płatności,Błąd API,Low,3.8.8,Desktop,macOS,15.0,True,True
ERR-00161,2024-03-20 10:17:18,CUST-0096,SMB,Francja,Raporty,Błąd API,Medium,3.2.3,Mobile,iOS,,False,True
ERR-00162,2024-11-05 14:13:45,CUST-0015,Enterprise,Francja,Logowanie,Błąd autoryzacji,Low,3.4.1,Desktop,Windows,44.0,True,False
ERR-00163,2024-06-24 14:13:43,CUST-0010,Enterprise,Niemcy,Płatności,Błąd API,Medium,3.3.7,Desktop,Windows,25.0,True,False
ERR-00164,2024-11-20 13:54:16,CUST-0101,SMB,Hiszpania,Raporty,Timeout,High,3.4.5,Mobile,Android,163.0,True,False
ERR-00165,2024-09-15 04:31:16,CUST-0013,Enterprise,Niemcy,Logowanie,Błąd bazy danych,Medium,3.3.8,Mobile,Android,,False,False
ERR-00166,2024-01-27 17:05:40,CUST-0145,SMB,Wielka Brytania,Raporty,Timeout,Critical,3.5.3,Desktop,Windows,453.0,True,False
ERR-00167,2024-08-04 10:53:17,CUST-0120,SMB,Francja,Użytkownicy,Timeout,High,3.4.7,Mobile,Android,229.0,True,False
ERR-00168,2024-01-23 08:00:21,CUST-0075,Mid-market,Polska,Logowanie,Błąd autoryzacji,Low,3.9.8,Desktop,macOS,26.0,True,False
ERR-00169,2024-03-07 02:40:16,CUST-0004,Enterprise,Francja,Eksport danych,Timeout,High,3.0.8,Desktop,Windows,140.0,True,False
ERR-00170,2024-03-23 13:47:28,CUST-0021,Enterprise,Polska,Raporty,Błąd autoryzacji,High,3.2.1,Desktop,Windows,52.0,True,False
ERR-00171,2024-10-09 15:45:27,CUST-0049,Mid-market,Francja,Integracje,Błąd autoryzacji,Medium,3.0.7,Desktop,macOS,121.0,True,False
ERR-00172,2024-10-14 00:00:07,CUST-0198,Startup,Polska,Płatności,Błąd interfejsu,Medium,3.7.3,Mobile,iOS,42.0,True,False
ERR-00173,2024-02-08 12:56:44,CUST-0070,Mid-market,Polska,Logowanie,Błąd API,Low,3.0.8,Desktop,Windows,16.0,True,False
ERR-00174,2024-03-17 09:34:02,CUST-0008,Enterprise,Wielka Brytania,Logowanie,Błąd API,Low,3.8.8,Mobile,Android,6.0,True,True
ERR-00175,2024-07-08 14:37:35,CUST-0045,Mid-market,Polska,Logowanie,Nieprawidłowe dane,Medium,3.5.6,Desktop,Windows,92.0,True,False
ERR-00176,2024-03-16 08:27:08,CUST-0039,Mid-market,Hiszpania,Logowanie,Błąd interfejsu,High,3.5.9,Desktop,Windows,88.0,True,True
ERR-00177,2024-01-22 15:19:23,CUST-0142,SMB,Polska,Integracje,Błąd API,High,3.6.4,Tablet,Android,76.0,True,False
ERR-00178,2024-01-21 11:57:22,CUST-0005,Enterprise,Francja,Eksport danych,Nieprawidłowe dane,Low,3.2.5,Mobile,iOS,9.0,True,False
